,loan_ammount,loan_duration,loan_payment,no_of_inhabitants,no_of_inhabitants<499,no_of_inhabitants 500-1999,no_of_inhabitants 2000-9999,no_of_inhabitants>10000,district_no_of_cities,ration_of_urban_inhabitants,district_avg_salary,No.enterpreneurs/100inhabitans,Paid_loan_amount,avg_unemployment_rate,avg_crime_rate,days_btw_aco_to_lon,client_age,AF1,AF2,C1,C2,C3,Loan_Status
0,96396,12,8033.0,94812,15,13,8,2,10,81.8,9650,100,8033.2,16.8504,110.27535544023964,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,52128,24,2172.0,94812,15,13,8,2,10,81.8,9650,100,2172.0,16.8504,110.27535544023964,264,24.0,0.0,0.0,1.0,0.0,0.0,0.0
2,165960,36,4610.0,112709,48,20,7,3,10,73.5,8369,117,4610.0,6.19045,92.30699411759487,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,390096,48,8127.0,112709,48,20,7,3,10,73.5,8369,117,8127.0,6.19045,92.30699411759487,163,27.0,0.0,0.0,0.0,0.0,1.0,0.0
4,219456,48,4572.0,112709,48,20,7,3,10,73.5,8369,117,4572.0,6.19045,92.30699411759487,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,468060,60,7801.0,112709,48,20,7,3,10,73.5,8369,117,7801.2,6.19045,92.30699411759487,470,27.0,0.0,1.0,1.0,0.0,0.0,0.0
6,339168,48,7066.0,112709,48,20,7,3,10,73.5,8369,117,7066.0,6.19045,92.30699411759487,292,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,185640,60,3094.0,112709,48,20,7,3,10,73.5,8369,117,3094.5,6.19045,92.30699411759487,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,127080,60,2118.0,77917,85,19,6,1,5,53.5,8390,132,2118.3,11.455400000000001,128.40665066673512,170,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,74736,36,2076.0,77917,85,19,6,1,5,53.5,8390,132,2076.0,11.455400000000001,128.40665066673512,399,24.0,0.0,0.0,1.0,0.0,0.0,0.0
10,115992,36,3222.0,77917,85,19,6,1,5,53.5,8390,132,3221.5,11.455400000000001,128.40665066673512,613,24.0,0.0,1.0,1.0,0.0,0.0,0.0
11,204000,60,3400.0,77917,85,19,6,1,5,53.5,8390,132,3400.5,11.455400000000001,128.40665066673512,366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,93960,60,1566.0,77917,85,19,6,1,5,53.5,8390,132,1566.0,11.455400000000001,128.40665066673512,452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,50976,36,1416.0,77917,85,19,6,1,5,53.5,8390,132,1416.0,11.455400000000001,128.40665066673512,496,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,184620,60,3077.0,77917,85,19,6,1,5,53.5,8390,132,3076.8,11.455400000000001,128.40665066673512,606,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,105804,36,2939.0,107870,84,29,6,1,6,58.0,8754,137,2938.7,17.19515,142.7825530731436,185,23.0,0.0,0.0,1.0,0.0,0.0,0.0
16,76908,12,6409.0,107870,84,29,6,1,6,58.0,8754,137,6408.8,17.19515,142.7825530731436,485,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,143904,24,5996.0,107870,84,29,6,1,6,58.0,8754,137,5996.2,17.19515,142.7825530731436,518,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,331560,60,5526.0,107870,84,29,6,1,6,58.0,8754,137,5526.0,17.19515,142.7825530731436,571,25.0,0.0,0.0,0.0,0.0,1.0,0.0
19,74124,36,2059.0,107870,84,29,6,1,6,58.0,8754,137,2059.0,17.19515,142.7825530731436,529,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20,392460,60,6541.0,107870,84,29,6,1,6,58.0,8754,137,6541.2,17.19515,142.7825530731436,678,26.0,0.0,0.0,0.0,0.0,1.0,0.0
21,133800,24,5575.0,107870,84,29,6,1,6,58.0,8754,137,5575.3,17.19515,142.7825530731436,405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,40632,12,3386.0,107870,84,29,6,1,6,58.0,8754,137,3385.5,17.19515,142.7825530731436,444,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23,274740,60,4579.0,1204953,0,0,0,1,1,100.0,12541,167,4579.0,0.22544999999999998,3340.6722822383945,204,23.0,0.0,1.0,0.0,0.0,1.0,0.0
24,38148,12,3179.0,1204953,0,0,0,1,1,100.0,12541,167,3179.0,0.22544999999999998,3340.6722822383945,171,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,80952,24,3373.0,1204953,0,0,0,1,1,100.0,12541,167,3372.7,0.22544999999999998,3340.6722822383945,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,80952,24,3373.0,1204953,0,0,0,1,1,100.0,12541,167,3372.7,0.22544999999999998,3340.6722822383945,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,24516,12,2043.0,1204953,0,0,0,1,1,100.0,12541,167,2043.0,0.22544999999999998,3340.6722822383945,317,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,108144,36,3004.0,1204953,0,0,0,1,1,100.0,12541,167,3004.5,0.22544999999999998,3340.6722822383945,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,78936,12,6578.0,1204953,0,0,0,1,1,100.0,12541,167,6578.0,0.22544999999999998,3340.6722822383945,273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,215388,36,5983.0,1204953,0,0,0,1,1,100.0,12541,167,5983.0,0.22544999999999998,3340.6722822383945,156,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31,208320,48,4340.0,1204953,0,0,0,1,1,100.0,12541,167,4340.0,0.22544999999999998,3340.6722822383945,479,0.0,0.0,1.0,0.0,0.0,0.0,0.0
32,288360,60,4806.0,1204953,0,0,0,1,1,100.0,12541,167,4806.5,0.22544999999999998,3340.6722822383945,107,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33,91584,24,3816.0,1204953,0,0,0,1,1,100.0,12541,167,3816.0,0.22544999999999998,3340.6722822383945,211,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,39576,12,3298.0,1204953,0,0,0,1,1,100.0,12541,167,3298.3,0.22544999999999998,3340.6722822383945,522,24.0,0.0,0.0,0.0,0.0,1.0,0.0
35,252060,60,4201.0,1204953,0,0,0,1,1,100.0,12541,167,4201.2,0.22544999999999998,3340.6722822383945,232,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36,131292,36,3647.0,1204953,0,0,0,1,1,100.0,12541,167,3647.0,0.22544999999999998,3340.6722822383945,425,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37,120888,36,3358.0,1204953,0,0,0,1,1,100.0,12541,167,3358.0,0.22544999999999998,3340.6722822383945,496,0.0,0.0,1.0,0.0,0.0,0.0,0.0
38,323472,48,6739.0,1204953,0,0,0,1,1,100.0,12541,167,6738.7,0.22544999999999998,3340.6722822383945,415,24.0,0.0,0.0,1.0,0.0,0.0,0.0
39,11736,24,489.0,1204953,0,0,0,1,1,100.0,12541,167,489.0,0.22544999999999998,3340.6722822383945,528,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,61056,48,1272.0,1204953,0,0,0,1,1,100.0,12541,167,1272.0,0.22544999999999998,3340.6722822383945,347,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,48672,36,1352.0,1204953,0,0,0,1,1,100.0,12541,167,1352.0,0.22544999999999998,3340.6722822383945,415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,140400,36,3900.0,1204953,0,0,0,1,1,100.0,12541,167,3900.5,0.22544999999999998,3340.6722822383945,392,24.0,0.0,0.0,1.0,0.0,0.0,0.0
43,482940,60,8049.0,1204953,0,0,0,1,1,100.0,12541,167,8049.0,0.22544999999999998,3340.6722822383945,477,0.0,0.0,0.0,0.0,0.0,0.0,1.0
44,31248,12,2604.0,1204953,0,0,0,1,1,100.0,12541,167,2604.5,0.22544999999999998,3340.6722822383945,570,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,76380,12,6365.0,1204953,0,0,0,1,1,100.0,12541,167,6365.0,0.22544999999999998,3340.6722822383945,246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,270648,36,7518.0,1204953,0,0,0,1,1,100.0,12541,167,7518.0,0.22544999999999998,3340.6722822383945,307,0.0,0.0,1.0,0.0,0.0,0.0,1.0
47,76416,24,3184.0,1204953,0,0,0,1,1,100.0,12541,167,3184.3,0.22544999999999998,3340.6722822383945,669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,316140,60,5269.0,1204953,0,0,0,1,1,100.0,12541,167,5269.0,0.22544999999999998,3340.6722822383945,683,0.0,0.0,0.0,0.0,0.0,0.0,1.0
49,168984,24,7041.0,1204953,0,0,0,1,1,100.0,12541,167,7040.7,0.22544999999999998,3340.6722822383945,571,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50,31728,24,1322.0,1204953,0,0,0,1,1,100.0,12541,167,1322.0,0.22544999999999998,3340.6722822383945,568,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,18564,12,1547.0,1204953,0,0,0,1,1,100.0,12541,167,1547.0,0.22544999999999998,3340.6722822383945,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,36396,12,3033.0,1204953,0,0,0,1,1,100.0,12541,167,3033.0,0.22544999999999998,3340.6722822383945,671,0.0,0.0,1.0,0.0,0.0,0.0,0.0
53,36168,12,3014.0,1204953,0,0,0,1,1,100.0,12541,167,3013.5,0.22544999999999998,3340.6722822383945,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,231696,36,6436.0,1204953,0,0,0,1,1,100.0,12541,167,6436.0,0.22544999999999998,3340.6722822383945,476,0.0,0.0,1.0,0.0,0.0,0.0,0.0
55,419880,60,6998.0,1204953,0,0,0,1,1,100.0,12541,167,6998.0,0.22544999999999998,3340.6722822383945,156,0.0,0.0,1.0,0.0,0.0,0.0,0.0
56,31176,24,1299.0,1204953,0,0,0,1,1,100.0,12541,167,1299.0,0.22544999999999998,3340.6722822383945,173,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,125340,60,2089.0,1204953,0,0,0,1,1,100.0,12541,167,2088.8,0.22544999999999998,3340.6722822383945,476,0.0,0.0,1.0,0.0,0.0,0.0,0.0
58,247728,48,5161.0,1204953,0,0,0,1,1,100.0,12541,167,5161.2,0.22544999999999998,3340.6722822383945,215,26.0,0.0,1.0,0.0,0.0,1.0,0.0
59,320976,48,6687.0,1204953,0,0,0,1,1,100.0,12541,167,6687.0,0.22544999999999998,3340.6722822383945,251,26.0,0.0,0.0,1.0,0.0,0.0,1.0
60,20196,36,561.0,1204953,0,0,0,1,1,100.0,12541,167,561.0,0.22544999999999998,3340.6722822383945,523,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,258444,36,7179.0,1204953,0,0,0,1,1,100.0,12541,167,7178.8,0.22544999999999998,3340.6722822383945,205,0.0,0.0,1.0,0.0,0.0,0.0,0.0
62,71460,36,1985.0,1204953,0,0,0,1,1,100.0,12541,167,1985.0,0.22544999999999998,3340.6722822383945,240,26.0,0.0,0.0,0.0,0.0,1.0,0.0
63,68832,36,1912.0,1204953,0,0,0,1,1,100.0,12541,167,1912.0,0.22544999999999998,3340.6722822383945,330,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,101520,12,8460.0,1204953,0,0,0,1,1,100.0,12541,167,8460.0,0.22544999999999998,3340.6722822383945,245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,77184,36,2144.0,1204953,0,0,0,1,1,100.0,12541,167,2144.0,0.22544999999999998,3340.6722822383945,573,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,70656,48,1472.0,1204953,0,0,0,1,1,100.0,12541,167,1472.0,0.22544999999999998,3340.6722822383945,273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,110136,24,4589.0,1204953,0,0,0,1,1,100.0,12541,167,4589.2,0.22544999999999998,3340.6722822383945,553,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,228276,36,6341.0,1204953,0,0,0,1,1,100.0,12541,167,6341.0,0.22544999999999998,3340.6722822383945,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,415800,60,6930.0,1204953,0,0,0,1,1,100.0,12541,167,6930.0,0.22544999999999998,3340.6722822383945,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,17184,12,1432.0,1204953,0,0,0,1,1,100.0,12541,167,1432.0,0.22544999999999998,3340.6722822383945,310,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,94488,24,3937.0,1204953,0,0,0,1,1,100.0,12541,167,3937.3,0.22544999999999998,3340.6722822383945,243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,99936,24,4164.0,1204953,0,0,0,1,1,100.0,12541,167,4164.0,0.22544999999999998,3340.6722822383945,590,27.0,0.0,0.0,1.0,0.0,0.0,0.0
73,165168,36,4588.0,1204953,0,0,0,1,1,100.0,12541,167,4588.5,0.22544999999999998,3340.6722822383945,461,27.0,0.0,0.0,1.0,0.0,0.0,0.0
74,268320,60,4472.0,1204953,0,0,0,1,1,100.0,12541,167,4472.0,0.22544999999999998,3340.6722822383945,257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,100260,60,1671.0,1204953,0,0,0,1,1,100.0,12541,167,1671.0,0.22544999999999998,3340.6722822383945,684,27.0,0.0,0.0,1.0,0.0,0.0,0.0
76,34572,12,2881.0,1204953,0,0,0,1,1,100.0,12541,167,2881.0,0.22544999999999998,3340.6722822383945,228,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,88272,48,1839.0,1204953,0,0,0,1,1,100.0,12541,167,1839.3,0.22544999999999998,3340.6722822383945,399,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,77808,12,6484.0,1204953,0,0,0,1,1,100.0,12541,167,6483.7,0.22544999999999998,3340.6722822383945,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,76944,12,6412.0,1204953,0,0,0,1,1,100.0,12541,167,6412.0,0.22544999999999998,3340.6722822383945,535,27.0,0.0,0.0,1.0,0.0,0.0,0.0
80,390660,60,6511.0,1204953,0,0,0,1,1,100.0,12541,167,6510.7,0.22544999999999998,3340.6722822383945,308,27.0,0.0,0.0,0.0,0.0,1.0,0.0
81,271584,48,5658.0,1204953,0,0,0,1,1,100.0,12541,167,5658.0,0.22544999999999998,3340.6722822383945,510,27.0,0.0,0.0,1.0,0.0,0.0,0.0
82,197808,24,8242.0,1204953,0,0,0,1,1,100.0,12541,167,8241.8,0.22544999999999998,3340.6722822383945,125,27.0,0.0,0.0,1.0,0.0,0.0,0.0
83,44940,12,3745.0,1204953,0,0,0,1,1,100.0,12541,167,3744.7,0.22544999999999998,3340.6722822383945,238,27.0,0.0,1.0,1.0,0.0,0.0,0.0
84,44952,24,1873.0,1204953,0,0,0,1,1,100.0,12541,167,1872.8,0.22544999999999998,3340.6722822383945,433,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,89280,12,7440.0,1204953,0,0,0,1,1,100.0,12541,167,7440.5,0.22544999999999998,3340.6722822383945,261,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,203940,60,3399.0,1204953,0,0,0,1,1,100.0,12541,167,3399.0,0.22544999999999998,3340.6722822383945,358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,218064,48,4543.0,1204953,0,0,0,1,1,100.0,12541,167,4542.7,0.22544999999999998,3340.6722822383945,241,28.0,0.0,0.0,1.0,0.0,0.0,0.0
88,63576,12,5298.0,1204953,0,0,0,1,1,100.0,12541,167,5297.7,0.22544999999999998,3340.6722822383945,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,66696,24,2779.0,1204953,0,0,0,1,1,100.0,12541,167,2778.7,0.22544999999999998,3340.6722822383945,110,28.0,0.0,0.0,1.0,0.0,0.0,0.0
90,566640,60,9444.0,1204953,0,0,0,1,1,100.0,12541,167,9444.0,0.22544999999999998,3340.6722822383945,308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,37944,36,1054.0,1204953,0,0,0,1,1,100.0,12541,167,1054.0,0.22544999999999998,3340.6722822383945,594,28.0,0.0,0.0,1.0,0.0,0.0,0.0
92,428784,48,8933.0,1204953,0,0,0,1,1,100.0,12541,167,8933.0,0.22544999999999998,3340.6722822383945,436,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,194280,60,3238.0,1204953,0,0,0,1,1,100.0,12541,167,3238.0,0.22544999999999998,3340.6722822383945,426,28.0,0.0,0.0,1.0,0.0,0.0,0.0
94,157068,36,4363.0,1204953,0,0,0,1,1,100.0,12541,167,4362.7,0.22544999999999998,3340.6722822383945,245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,279072,48,5814.0,1204953,0,0,0,1,1,100.0,12541,167,5813.5,0.22544999999999998,3340.6722822383945,611,0.0,0.0,1.0,0.0,0.0,0.0,0.0
96,74352,24,3098.0,1204953,0,0,0,1,1,100.0,12541,167,3098.0,0.22544999999999998,3340.6722822383945,559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,45720,12,3810.0,1204953,0,0,0,1,1,100.0,12541,167,3810.0,0.22544999999999998,3340.6722822383945,415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,136344,24,5681.0,1204953,0,0,0,1,1,100.0,12541,167,5681.0,0.22544999999999998,3340.6722822383945,638,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,5148,12,429.0,1204953,0,0,0,1,1,100.0,12541,167,429.0,0.22544999999999998,3340.6722822383945,446,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,234336,48,4882.0,1204953,0,0,0,1,1,100.0,12541,167,4882.5,0.22544999999999998,3340.6722822383945,659,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,212976,36,5916.0,1204953,0,0,0,1,1,100.0,12541,167,5915.7,0.22544999999999998,3340.6722822383945,671,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,209040,24,8710.0,1204953,0,0,0,1,1,100.0,12541,167,8710.0,0.22544999999999998,3340.6722822383945,355,28.0,0.0,0.0,0.0,0.0,1.0,0.0
103,321936,48,6707.0,1204953,0,0,0,1,1,100.0,12541,167,6707.0,0.22544999999999998,3340.6722822383945,693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,74916,36,2081.0,1204953,0,0,0,1,1,100.0,12541,167,2080.8,0.22544999999999998,3340.6722822383945,664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,99216,36,2756.0,1204953,0,0,0,1,1,100.0,12541,167,2756.0,0.22544999999999998,3340.6722822383945,443,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,276084,36,7669.0,1204953,0,0,0,1,1,100.0,12541,167,7668.7,0.22544999999999998,3340.6722822383945,476,28.0,0.0,0.0,1.0,0.0,0.0,0.0
107,87840,24,3660.0,53921,61,22,1,1,2,41.3,8598,123,3659.8,11.66535,97.46615418853509,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,61656,24,2569.0,53921,61,22,1,1,2,41.3,8598,123,2568.8,11.66535,97.46615418853509,167,0.0,0.0,1.0,0.0,0.0,0.0,1.0
109,44628,12,3719.0,53921,61,22,1,1,2,41.3,8598,123,3719.0,11.66535,97.46615418853509,636,0.0,0.0,1.0,0.0,0.0,0.0,0.0
110,262980,60,4383.0,53921,61,22,1,1,2,41.3,8598,123,4382.7,11.66535,97.46615418853509,369,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,148140,36,4115.0,53921,61,22,1,1,2,41.3,8598,123,4114.7,11.66535,97.46615418853509,615,0.0,0.0,1.0,0.0,0.0,0.0,0.0
112,79824,12,6652.0,53921,61,22,1,1,2,41.3,8598,123,6652.5,11.66535,97.46615418853509,182,28.0,0.0,1.0,1.0,0.0,0.0,0.0
113,45456,12,3788.0,53921,61,22,1,1,2,41.3,8598,123,3788.3,11.66535,97.46615418853509,329,28.0,0.0,0.0,1.0,0.0,0.0,0.0
114,230220,36,6395.0,53921,61,22,1,1,2,41.3,8598,123,6395.0,11.66535,97.46615418853509,662,28.0,0.0,0.0,1.0,0.0,0.0,0.0
115,52788,12,4399.0,58796,22,16,7,1,5,51.9,9045,124,4399.0,16.80515,91.89340261242262,244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,87216,48,1817.0,58796,22,16,7,1,5,51.9,9045,124,1817.3,16.80515,91.89340261242262,192,0.0,0.0,0.0,0.0,0.0,0.0,1.0
117,21396,12,1783.0,58796,22,16,7,1,5,51.9,9045,124,1783.2,16.80515,91.89340261242262,440,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,44376,12,3698.0,58796,22,16,7,1,5,51.9,9045,124,3697.8,16.80515,91.89340261242262,164,26.0,0.0,0.0,1.0,0.0,0.0,0.0
119,66840,24,2785.0,58796,22,16,7,1,5,51.9,9045,124,2785.0,16.80515,91.89340261242262,463,0.0,1.0,0.0,0.0,0.0,0.0,0.0
120,140880,60,2348.0,58796,22,16,7,1,5,51.9,9045,124,2348.0,16.80515,91.89340261242262,251,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,170832,48,3559.0,58796,22,16,7,1,5,51.9,9045,124,3559.0,16.80515,91.89340261242262,356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,174744,24,7281.0,122603,25,21,6,2,8,80.0,8991,128,7281.3,6.02045,204.37653646321868,163,0.0,0.0,0.0,0.0,0.0,0.0,1.0
123,49320,12,4110.0,122603,25,21,6,2,8,80.0,8991,128,4110.0,6.02045,204.37653646321868,167,0.0,1.0,0.0,0.0,0.0,0.0,1.0
124,95808,12,7984.0,122603,25,21,6,2,8,80.0,8991,128,7984.3,6.02045,204.37653646321868,429,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,97224,24,4051.0,122603,25,21,6,2,8,80.0,8991,128,4051.0,6.02045,204.37653646321868,531,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,19044,36,529.0,122603,25,21,6,2,8,80.0,8991,128,529.0,6.02045,204.37653646321868,410,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,15192,24,633.0,122603,25,21,6,2,8,80.0,8991,128,633.0,6.02045,204.37653646321868,685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
