,loan_ammount,loan_duration,loan_payment,no_of_inhabitants,no_of_inhabitants<499,no_of_inhabitants 500-1999,no_of_inhabitants 2000-9999,no_of_inhabitants>10000,district_no_of_cities,ration_of_urban_inhabitants,district_avg_salary,No.enterpreneurs/100inhabitans,Paid_loan_amount,avg_unemployment_rate,avg_crime_rate,days_btw_aco_to_lon,client_age,AF1,AF2,C1,C2,C3,Loan_Status
128,72504,24,3021.0,122603,25,21,6,2,8,80.0,8991,128,3021.0,6.02045,204.37653646321868,317,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,321360,60,5356.0,122603,25,21,6,2,8,80.0,8991,128,5356.0,6.02045,204.37653646321868,599,28.0,0.0,0.0,1.0,0.0,0.0,0.0
130,154416,48,3217.0,70699,60,13,2,1,4,65.3,8968,131,3216.7,11.715150000000001,75.71472015162874,176,0.0,0.0,1.0,0.0,0.0,0.0,0.0
131,159744,48,3328.0,70699,60,13,2,1,4,65.3,8968,131,3328.2,11.715150000000001,75.71472015162874,280,27.0,0.0,0.0,1.0,0.0,0.0,0.0
132,163332,36,4537.0,70699,60,13,2,1,4,65.3,8968,131,4537.3,11.715150000000001,75.71472015162874,443,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,117024,24,4876.0,177686,69,27,10,1,9,74.8,10045,135,4875.8,5.8751,170.5433601972018,137,23.0,0.0,0.0,1.0,0.0,0.0,0.0
134,173016,36,4806.0,177686,69,27,10,1,9,74.8,10045,135,4806.5,5.8751,170.5433601972018,318,26.0,0.0,1.0,1.0,0.0,0.0,0.0
135,321180,60,5353.0,177686,69,27,10,1,9,74.8,10045,135,5353.3,5.8751,170.5433601972018,233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,421008,48,8771.0,177686,69,27,10,1,9,74.8,10045,135,8771.0,5.8751,170.5433601972018,304,26.0,0.0,0.0,1.0,0.0,0.0,0.0
137,232560,48,4845.0,177686,69,27,10,1,9,74.8,10045,135,4845.0,5.8751,170.5433601972018,630,0.0,1.0,0.0,0.0,0.0,0.0,0.0
138,333648,48,6951.0,177686,69,27,10,1,9,74.8,10045,135,6950.8,5.8751,170.5433601972018,311,0.0,0.0,0.0,0.0,0.0,0.0,1.0
139,321240,60,5354.0,177686,69,27,10,1,9,74.8,10045,135,5353.5,5.8751,170.5433601972018,524,28.0,0.0,0.0,1.0,0.0,0.0,0.0
140,91248,48,1901.0,177686,69,27,10,1,9,74.8,10045,135,1901.0,5.8751,170.5433601972018,579,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,21924,36,609.0,157042,49,70,18,0,9,33.9,8743,111,609.0,6.2554,97.4547700615122,297,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,14628,12,1219.0,157042,49,70,18,0,9,33.9,8743,111,1219.0,6.2554,97.4547700615122,399,24.0,0.0,0.0,1.0,0.0,0.0,0.0
143,121896,24,5079.0,157042,49,70,18,0,9,33.9,8743,111,5079.0,6.2554,97.4547700615122,486,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,71460,12,5955.0,157042,49,70,18,0,9,33.9,8743,111,5955.0,6.2554,97.4547700615122,326,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,417600,60,6960.0,157042,49,70,18,0,9,33.9,8743,111,6959.8,6.2554,97.4547700615122,408,26.0,1.0,0.0,0.0,1.0,0.0,0.0
146,74772,36,2077.0,157042,49,70,18,0,9,33.9,8743,111,2077.3,6.2554,97.4547700615122,389,0.0,1.0,0.0,0.0,0.0,0.0,0.0
147,63972,36,1777.0,157042,49,70,18,0,9,33.9,8743,111,1776.7,6.2554,97.4547700615122,115,0.0,1.0,0.0,0.0,0.0,0.0,1.0
148,143676,36,3991.0,157042,49,70,18,0,9,33.9,8743,111,3990.8,6.2554,97.4547700615122,447,0.0,0.0,1.0,0.0,0.0,0.0,0.0
149,249792,48,5204.0,157042,49,70,18,0,9,33.9,8743,111,5204.2,6.2554,97.4547700615122,284,28.0,0.0,0.0,1.0,0.0,0.0,0.0
150,52512,12,4376.0,157042,49,70,18,0,9,33.9,8743,111,4375.5,6.2554,97.4547700615122,521,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,79608,24,3317.0,105606,77,26,7,2,7,53.0,8254,97,3317.0,11.91545,95.20474688938128,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,149340,60,2489.0,105606,77,26,7,2,7,53.0,8254,97,2489.3,11.91545,95.20474688938128,321,0.0,0.0,1.0,0.0,0.0,0.0,0.0
153,77640,12,6470.0,105606,77,26,7,2,7,53.0,8254,97,6469.7,11.91545,95.20474688938128,333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
154,314520,60,5242.0,105606,77,26,7,2,7,53.0,8254,97,5242.0,11.91545,95.20474688938128,484,0.0,0.0,1.0,0.0,0.0,0.0,0.0
155,277884,36,7719.0,105606,77,26,7,2,7,53.0,8254,97,7718.7,11.91545,95.20474688938128,693,0.0,0.0,0.0,0.0,0.0,0.0,1.0
156,265320,36,7370.0,105606,77,26,7,2,7,53.0,8254,97,7370.2,11.91545,95.20474688938128,636,0.0,0.0,0.0,0.0,0.0,0.0,1.0
157,153936,24,6414.0,105606,77,26,7,2,7,53.0,8254,97,6413.7,11.91545,95.20474688938128,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,113436,36,3151.0,105606,77,26,7,2,7,53.0,8254,97,3151.3,11.91545,95.20474688938128,384,28.0,0.0,0.0,1.0,0.0,0.0,0.0
159,464520,60,7742.0,77963,60,23,4,2,4,51.5,8546,126,7741.8,12.05525,132.15961417595526,257,0.0,0.0,1.0,0.0,0.0,0.0,1.0
160,317520,60,5292.0,77963,60,23,4,2,4,51.5,8546,126,5292.0,12.05525,132.15961417595526,303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,466608,48,9721.0,77963,60,23,4,2,4,51.5,8546,126,9721.0,12.05525,132.15961417595526,575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,57360,12,4780.0,77963,60,23,4,2,4,51.5,8546,126,4780.0,12.05525,132.15961417595526,313,0.0,0.0,0.0,0.0,0.0,0.0,1.0
163,360864,48,7518.0,77963,60,23,4,2,4,51.5,8546,126,7518.0,12.05525,132.15961417595526,374,0.0,0.0,1.0,0.0,0.0,0.0,1.0
164,64224,24,2676.0,77963,60,23,4,2,4,51.5,8546,126,2676.0,12.05525,132.15961417595526,440,0.0,0.0,1.0,0.0,0.0,0.0,0.0
165,104964,12,8747.0,77963,60,23,4,2,4,51.5,8546,126,8747.0,12.05525,132.15961417595526,644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,151200,36,4200.0,77963,60,23,4,2,4,51.5,8546,126,4200.2,12.05525,132.15961417595526,241,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,108720,60,1812.0,77963,60,23,4,2,4,51.5,8546,126,1812.3,12.05525,132.15961417595526,594,28.0,0.0,0.0,1.0,0.0,0.0,0.0
168,95400,36,2650.0,75685,31,28,5,1,9,60.8,8208,155,2650.2,6.17045,70.08074915769306,268,0.0,0.0,1.0,0.0,0.0,0.0,0.0
169,63360,60,1056.0,75685,31,28,5,1,9,60.8,8208,155,1056.0,6.17045,70.08074915769306,638,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,117420,60,1957.0,75685,31,28,5,1,9,60.8,8208,155,1957.0,6.17045,70.08074915769306,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,93888,36,2608.0,86513,38,36,5,1,5,50.5,8288,110,2608.2,17.295450000000002,60.7277518985586,156,0.0,1.0,0.0,0.0,0.0,0.0,0.0
172,4980,12,415.0,86513,38,36,5,1,5,50.5,8288,110,415.0,17.295450000000002,60.7277518985586,242,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,288468,36,8013.0,86513,38,36,5,1,5,50.5,8288,110,8013.0,17.295450000000002,60.7277518985586,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,186300,60,3105.0,86513,38,36,5,1,5,50.5,8288,110,3104.7,17.295450000000002,60.7277518985586,395,27.0,0.0,1.0,1.0,0.0,0.0,0.0
175,106944,24,4456.0,86513,38,36,5,1,5,50.5,8288,110,4456.0,17.295450000000002,60.7277518985586,145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,24792,24,1033.0,86513,38,36,5,1,5,50.5,8288,110,1033.0,17.295450000000002,60.7277518985586,606,27.0,0.0,0.0,1.0,0.0,0.0,0.0
177,71820,36,1995.0,86513,38,36,5,1,5,50.5,8288,110,1995.0,17.295450000000002,60.7277518985586,403,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,47016,12,3918.0,197099,29,41,10,2,10,74.7,9624,145,3918.2,6.1850000000000005,102.51778294156743,239,0.0,1.0,0.0,0.0,0.0,0.0,0.0
179,55368,24,2307.0,197099,29,41,10,2,10,74.7,9624,145,2306.8,6.1850000000000005,102.51778294156743,362,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,227880,36,6330.0,197099,29,41,10,2,10,74.7,9624,145,6330.2,6.1850000000000005,102.51778294156743,382,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,47304,24,1971.0,197099,29,41,10,2,10,74.7,9624,145,1970.8,6.1850000000000005,102.51778294156743,516,25.0,0.0,0.0,1.0,0.0,0.0,0.0
182,33984,48,708.0,197099,29,41,10,2,10,74.7,9624,145,708.0,6.1850000000000005,102.51778294156743,367,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,188688,48,3931.0,197099,29,41,10,2,10,74.7,9624,145,3930.8,6.1850000000000005,102.51778294156743,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,360000,48,7500.0,197099,29,41,10,2,10,74.7,9624,145,7500.0,6.1850000000000005,102.51778294156743,578,0.0,1.0,0.0,0.0,0.0,0.0,0.0
185,444864,48,9268.0,197099,29,41,10,2,10,74.7,9624,145,9268.0,6.1850000000000005,102.51778294156743,343,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,85632,48,1784.0,197099,29,41,10,2,10,74.7,9624,145,1784.5,6.1850000000000005,102.51778294156743,494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,96168,12,8014.0,197099,29,41,10,2,10,74.7,9624,145,8013.7,6.1850000000000005,102.51778294156743,616,26.0,0.0,1.0,0.0,1.0,0.0,0.0
188,372120,60,6202.0,197099,29,41,10,2,10,74.7,9624,145,6202.0,6.1850000000000005,102.51778294156743,663,26.0,0.0,0.0,0.0,1.0,0.0,0.0
189,276300,60,4605.0,197099,29,41,10,2,10,74.7,9624,145,4605.0,6.1850000000000005,102.51778294156743,487,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,293880,60,4898.0,197099,29,41,10,2,10,74.7,9624,145,4898.2,6.1850000000000005,102.51778294156743,531,27.0,0.0,1.0,0.0,1.0,0.0,1.0
191,39024,12,3252.0,197099,29,41,10,2,10,74.7,9624,145,3252.2,6.1850000000000005,102.51778294156743,530,27.0,0.0,0.0,1.0,0.0,0.0,0.0
192,164196,36,4561.0,197099,29,41,10,2,10,74.7,9624,145,4561.0,6.1850000000000005,102.51778294156743,473,0.0,1.0,0.0,0.0,0.0,0.0,0.0
193,69600,48,1450.0,197099,29,41,10,2,10,74.7,9624,145,1450.0,6.1850000000000005,102.51778294156743,675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,210744,36,5854.0,197099,29,41,10,2,10,74.7,9624,145,5854.2,6.1850000000000005,102.51778294156743,242,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,259740,60,4329.0,228848,15,40,18,2,6,57.2,9893,96,4328.8,22.36045,110.57102749423198,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,253200,60,4220.0,228848,15,40,18,2,6,57.2,9893,96,4219.5,22.36045,110.57102749423198,255,0.0,0.0,1.0,0.0,0.0,0.0,0.0
197,41904,12,3492.0,228848,15,40,18,2,6,57.2,9893,96,3491.5,22.36045,110.57102749423198,603,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,76680,24,3195.0,228848,15,40,18,2,6,57.2,9893,96,3195.0,22.36045,110.57102749423198,545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,68400,12,5700.0,228848,15,40,18,2,6,57.2,9893,96,5700.3,22.36045,110.57102749423198,167,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200,99336,24,4139.0,228848,15,40,18,2,6,57.2,9893,96,4139.0,22.36045,110.57102749423198,330,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,141948,36,3943.0,228848,15,40,18,2,6,57.2,9893,96,3943.0,22.36045,110.57102749423198,114,26.0,0.0,0.0,1.0,0.0,0.0,0.0
202,35904,48,748.0,228848,15,40,18,2,6,57.2,9893,96,748.0,22.36045,110.57102749423198,296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,39576,12,3298.0,228848,15,40,18,2,6,57.2,9893,96,3298.3,22.36045,110.57102749423198,338,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,230400,60,3840.0,228848,15,40,18,2,6,57.2,9893,96,3840.2,22.36045,110.57102749423198,446,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,30276,12,2523.0,228848,15,40,18,2,6,57.2,9893,96,2523.2,22.36045,110.57102749423198,498,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,30276,12,2523.0,228848,15,40,18,2,6,57.2,9893,96,2523.2,22.36045,110.57102749423198,498,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,170448,48,3551.0,228848,15,40,18,2,6,57.2,9893,96,3551.0,22.36045,110.57102749423198,473,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,57060,12,4755.0,228848,15,40,18,2,6,57.2,9893,96,4755.0,22.36045,110.57102749423198,415,28.0,0.0,1.0,1.0,0.0,0.0,0.0
209,81144,36,2254.0,228848,15,40,18,2,6,57.2,9893,96,2253.5,22.36045,110.57102749423198,275,28.0,0.0,0.0,1.0,0.0,0.0,0.0
210,437460,60,7291.0,228848,15,40,18,2,6,57.2,9893,96,7291.3,22.36045,110.57102749423198,312,28.0,0.0,0.0,1.0,0.0,0.0,0.0
211,86616,12,7218.0,75637,35,36,9,0,7,36.5,9622,154,7218.0,0.31525,201.02978039848222,125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,149040,48,3105.0,75637,35,36,9,0,7,36.5,9622,154,3105.2,0.31525,201.02978039848222,292,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,80340,12,6695.0,75637,35,36,9,0,7,36.5,9622,154,6695.0,0.31525,201.02978039848222,319,24.0,0.0,0.0,0.0,0.0,1.0,0.0
214,69360,48,1445.0,75637,35,36,9,0,7,36.5,9622,154,1445.0,0.31525,201.02978039848222,450,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,50460,60,841.0,75637,35,36,9,0,7,36.5,9622,154,841.0,0.31525,201.02978039848222,269,24.0,0.0,0.0,0.0,1.0,0.0,0.0
216,126600,24,5275.0,75637,35,36,9,0,7,36.5,9622,154,5274.7,0.31525,201.02978039848222,693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,260028,36,7223.0,75637,35,36,9,0,7,36.5,9622,154,7223.2,0.31525,201.02978039848222,689,25.0,0.0,0.0,1.0,0.0,0.0,0.0
218,137904,24,5746.0,75637,35,36,9,0,7,36.5,9622,154,5746.0,0.31525,201.02978039848222,129,0.0,0.0,0.0,0.0,0.0,0.0,1.0
219,164256,48,3422.0,75637,35,36,9,0,7,36.5,9622,154,3421.5,0.31525,201.02978039848222,468,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,59448,24,2477.0,75637,35,36,9,0,7,36.5,9622,154,2476.8,0.31525,201.02978039848222,502,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,49044,12,4087.0,75637,35,36,9,0,7,36.5,9622,154,4086.8,0.31525,201.02978039848222,165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,75624,24,3151.0,387570,0,0,0,1,1,100.0,9897,140,3151.3,6.01,1394.226470057022,196,0.0,0.0,0.0,0.0,0.0,0.0,1.0
223,65184,12,5432.0,387570,0,0,0,1,1,100.0,9897,140,5432.3,6.01,1394.226470057022,448,24.0,0.0,0.0,0.0,1.0,0.0,0.0
224,208128,48,4336.0,387570,0,0,0,1,1,100.0,9897,140,4335.8,6.01,1394.226470057022,439,24.0,0.0,0.0,1.0,0.0,0.0,1.0
225,23052,12,1921.0,387570,0,0,0,1,1,100.0,9897,140,1921.0,6.01,1394.226470057022,617,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,100980,60,1683.0,387570,0,0,0,1,1,100.0,9897,140,1683.0,6.01,1394.226470057022,385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,113796,36,3161.0,387570,0,0,0,1,1,100.0,9897,140,3160.7,6.01,1394.226470057022,356,0.0,1.0,0.0,0.0,0.0,0.0,0.0
228,56100,60,935.0,387570,0,0,0,1,1,100.0,9897,140,935.0,6.01,1394.226470057022,405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,11400,12,950.0,387570,0,0,0,1,1,100.0,9897,140,950.0,6.01,1394.226470057022,357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,179328,48,3736.0,387570,0,0,0,1,1,100.0,9897,140,3736.0,6.01,1394.226470057022,311,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,84600,36,2350.0,387570,0,0,0,1,1,100.0,9897,140,2349.5,6.01,1394.226470057022,188,0.0,0.0,0.0,0.0,0.0,0.0,1.0
232,385104,48,8023.0,387570,0,0,0,1,1,100.0,9897,140,8022.8,6.01,1394.226470057022,516,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,294384,48,6133.0,387570,0,0,0,1,1,100.0,9897,140,6133.0,6.01,1394.226470057022,553,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,357840,48,7455.0,387570,0,0,0,1,1,100.0,9897,140,7455.0,6.01,1394.226470057022,102,0.0,0.0,0.0,0.0,0.0,0.0,1.0
235,67608,24,2817.0,387570,0,0,0,1,1,100.0,9897,140,2817.3,6.01,1394.226470057022,189,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,41856,48,872.0,387570,0,0,0,1,1,100.0,9897,140,872.0,6.01,1394.226470057022,431,27.0,0.0,0.0,1.0,0.0,0.0,0.0
237,116040,60,1934.0,387570,0,0,0,1,1,100.0,9897,140,1934.0,6.01,1394.226470057022,226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,83628,36,2323.0,387570,0,0,0,1,1,100.0,9897,140,2322.7,6.01,1394.226470057022,239,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,83628,36,2323.0,387570,0,0,0,1,1,100.0,9897,140,2322.7,6.01,1394.226470057022,239,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,473280,60,7888.0,387570,0,0,0,1,1,100.0,9897,140,7887.7,6.01,1394.226470057022,254,0.0,0.0,0.0,0.0,0.0,0.0,1.0
241,204780,60,3413.0,387570,0,0,0,1,1,100.0,9897,140,3413.0,6.01,1394.226470057022,198,27.0,0.0,0.0,1.0,0.0,0.0,0.0
242,590820,60,9847.0,387570,0,0,0,1,1,100.0,9897,140,9847.0,6.01,1394.226470057022,521,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,93036,12,7753.0,387570,0,0,0,1,1,100.0,9897,140,7753.3,6.01,1394.226470057022,447,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,58764,12,4897.0,387570,0,0,0,1,1,100.0,9897,140,4897.0,6.01,1394.226470057022,507,28.0,0.0,0.0,1.0,0.0,0.0,0.0
245,280440,60,4674.0,387570,0,0,0,1,1,100.0,9897,140,4674.0,6.01,1394.226470057022,620,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,21072,24,878.0,149893,63,29,6,2,6,67.4,9753,109,878.0,22.5552,167.48591328480984,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,63312,48,1319.0,149893,63,29,6,2,6,67.4,9753,109,1319.0,22.5552,167.48591328480984,402,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,189060,60,3151.0,149893,63,29,6,2,6,67.4,9753,109,3151.0,22.5552,167.48591328480984,203,25.0,1.0,0.0,1.0,0.0,0.0,0.0
249,402000,60,6700.0,149893,63,29,6,2,6,67.4,9753,109,6700.0,22.5552,167.48591328480984,315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,68340,60,1139.0,149893,63,29,6,2,6,67.4,9753,109,1139.0,22.5552,167.48591328480984,617,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,233424,36,6484.0,149893,63,29,6,2,6,67.4,9753,109,6483.7,22.5552,167.48591328480984,254,0.0,0.0,1.0,0.0,0.0,0.0,0.0
252,129312,24,5388.0,149893,63,29,6,2,6,67.4,9753,109,5388.5,22.5552,167.48591328480984,684,0.0,0.0,0.0,0.0,0.0,0.0,1.0
253,197748,36,5493.0,102609,75,33,2,3,6,52.0,8187,94,5493.0,22.765150000000002,97.96491535830191,163,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,141240,24,5885.0,102609,75,33,2,3,6,52.0,8187,94,5885.3,22.765150000000002,97.96491535830191,388,24.0,0.0,0.0,1.0,0.0,0.0,0.0
255,135360,48,2820.0,102609,75,33,2,3,6,52.0,8187,94,2819.8,22.765150000000002,97.96491535830191,363,26.0,0.0,0.0,0.0,0.0,1.0,0.0
256,150912,36,4192.0,102609,75,33,2,3,6,52.0,8187,94,4192.5,22.765150000000002,97.96491535830191,333,27.0,0.0,0.0,1.0,0.0,0.0,0.0
257,191088,48,3981.0,102609,75,33,2,3,6,52.0,8187,94,3981.0,22.765150000000002,97.96491535830191,408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,48312,24,2013.0,102609,75,33,2,3,6,52.0,8187,94,2013.0,22.765150000000002,97.96491535830191,503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259,100800,24,4200.0,102609,75,33,2,3,6,52.0,8187,94,4200.2,22.765150000000002,97.96491535830191,469,0.0,0.0,0.0,0.0,0.0,0.0,1.0
260,385560,60,6426.0,102609,75,33,2,3,6,52.0,8187,94,6426.3,22.765150000000002,97.96491535830191,424,0.0,0.0,0.0,0.0,0.0,0.0,1.0
261,220440,60,3674.0,102609,75,33,2,3,6,52.0,8187,94,3673.7,22.765150000000002,97.96491535830191,641,0.0,0.0,1.0,0.0,0.0,0.0,0.0
262,36204,12,3017.0,102609,75,33,2,3,6,52.0,8187,94,3017.2,22.765150000000002,97.96491535830191,478,0.0,0.0,0.0,0.0,0.0,0.0,1.0
263,174960,24,7290.0,102609,75,33,2,3,6,52.0,8187,94,7290.5,22.765150000000002,97.96491535830191,674,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,317460,60,5291.0,102609,75,33,2,3,6,52.0,8187,94,5290.8,22.765150000000002,97.96491535830191,499,0.0,0.0,0.0,0.0,0.0,0.0,0.0
